N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
174,금호타이어,"3,950",10,+0.25%,"5,000","11,347","287,260",4.25,"379,907",-11.32,-3.30,
175,JB금융지주,"5,740",60,-1.03%,"5,000","11,307","196,983",39.13,"585,100",3.47,10.36,
176,대웅제약,"96,300",600,+0.63%,"2,500","11,158","11,587",4.95,"172,627",-673.43,4.34,
177,제일약품,"75,600","2,000",-2.58%,500,"11,117","14,705",3.28,"637,179",-165.43,-5.96,
178,아시아나항공,"4,970",60,+1.22%,"5,000","11,095","223,235",5.95,"17,134,762",-0.34,-90.67,
179,코오롱인더,"41,050",100,+0.24%,"5,000","11,075","26,979",14.82,"600,037",7.35,1.58,
180,더블유게임즈,"60,200",800,+1.35%,500,"11,061","18,375",16.13,"68,551",10.32,18.93,
181,신세계인터내셔날,"154,000","2,500",+1.65%,"5,000","10,996","7,140",4.82,"40,617",17.75,12.98,
182,롯데관광개발,"15,800",100,+0.64%,500,"10,946","69,276",4.88,"177,137",-23.98,-4.77,
183,한국콜마,"47,000","1,600",+3.52%,500,"10,754","22,881",25.55,"345,807",48.86,6.39,
184,대한전선,"1,240",286,+29.98%,500,"10,620","856,473",2.04,"281,157,150",82.67,-3.99,
185,SK가스,"114,000","2,500",+2.24%,"5,000","10,522","9,230",8.94,"32,892",3.03,9.85,
186,KODEX MSCI Korea TR,"10,890",10,+0.09%,0,"10,215","93,800",11.31,"615,648",N/A,N/A,
187,코스맥스,"101,500","2,500",+2.53%,500,"10,200","10,050",26.26,"106,898",26.46,10.45,
188,휴켐스,"24,350",450,+1.88%,"1,000","9,954","40,879",8.80,"206,516",15.99,10.82,
189,영풍,"527,000","6,000",+1.15%,"5,000","9,708","1,842",4.72,"1,836",4.34,7.40,
190,KODEX 인버스,"4,970",5,-0.10%,0,"9,652","194,200",1.13,"27,337,689",N/A,N/A,
191,태광산업,"861,000","23,000",+2.74%,"5,000","9,586","1,113",9.06,"1,338",7.35,4.34,
192,화승엔터프라이즈,"15,650","1,200",+8.30%,500,"9,474","60,537",4.07,"755,704",17.01,19.87,
193,GKL,"15,300",850,+5.88%,500,"9,464","61,856",5.73,"1,437,406",27.22,12.62,
194,KODEX 단기채권PLUS,"102,805",5,0.00%,0,"9,453","9,195",0.00,"155,663",N/A,N/A,
195,롯데리츠,"5,490",10,-0.18%,500,"9,441","171,969",8.95,"215,663",61.00,1.80,
196,KBSTAR 200,"34,055",35,+0.10%,0,"9,399","27,600",0.10,"318,537",N/A,N/A,
197,쿠쿠홈시스,"41,250",600,+1.48%,100,"9,255","22,437",5.62,"24,545",12.08,16.10,
198,다우기술,"20,600",0,0.00%,500,"9,243","44,867",22.61,"143,616",4.86,14.62,
199,코리안리,"7,610",10,-0.13%,500,"9,160","120,369",27.28,"232,890",5.44,8.04,
200,드림텍,"14,600","3,350",+29.78%,100,"9,069","62,116",24.65,"2,465,134",73.00,13.24,
